"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","18 Untergiesing - Harlaching","10.1","518","5128","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","12.2","947","7776","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","20 Hadern","14.2","540","3797","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","21 Pasing - Obermenzing","11.9","642","5400","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","22 Aubing - Lochhausen - Langwied","16.2","493","3052","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","23 Allach - Untermenzing","12","241","2007","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","24 Feldmoching - Hasenbergl","14.9","870","5838","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2013","25 Laim","10.2","599","5895","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","Stadt München","11.6","16125","139035","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","01 Altstadt - Lehel","6.4","163","2532","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","02 Ludwigsvorstadt - Isarvorstadt","6.8","460","6787","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","03 Maxvorstadt","6","356","5984","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","04 Schwabing - West","6.6","403","6147","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","05 Au - Haidhausen","8.2","485","5920","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","06 Sendling","10.4","447","4290","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","07 Sendling - Westpark","12.7","693","5466","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","08 Schwanthalerhöhe","9.3","399","4277","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","09 Neuhausen - Nymphenburg","10","841","8418","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
